
🚀 전환 매매 전략 백테스트 시작
   원본 주식: TSLA
   롱 ETF: TSLL
   숏 ETF: TSLS
   기간: 2024-11-01 ~ 2025-12-03
   간격: 2m


======================================================================
전환 매매 전략 백테스트 시작
원본 주식: TSLA -> TSLL 2 /TSLS -1
기간: 2024-11-01 ~ 2025-12-03
초기 자본: $1200.00
======================================================================

데이터 수집 중...
✅ 데이터 수집 완료: 원본 5175개, 롱 5175개, 숏 5107개

📈 [2025-10-24 11:32] TSLA -> TSLL 롱 진입 @ $20.26 x 56.27 (수수료: $2.85)
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.78
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.75
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.81
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.82
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.85
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.96
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.91
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.99
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 21.11
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 21.26
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 21.35
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 21.26
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 21.43
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 21.43
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 21.43
self.entry_time: 2025-10-27 09:30, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 21.42
